"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2245","FBgn0029903",8.637141272,8.487517214,68.63940562,2.83e-12,1.62e-11,18.9763306
"2269","FBgn0261836",9.073153913,9.317525803,68.38121567,2.92e-12,1.65e-11,18.95501229
"2321","FBgn0000579",8.885416933,9.002289006,67.67230668,3.17e-12,1.75e-11,18.88023375
"2325","FBgn0001233",11.95836979,11.99579966,67.62527208,3.18e-12,1.76e-11,18.88787587
"2327","FBgn0041182",9.009032337,8.740429841,67.59890514,3.19e-12,1.76e-11,18.87370927
"2391","FBgn0011211",9.459565604,9.891761335,66.6482819,3.57e-12,1.92e-11,18.77584114
"2396","FBgn0004362",8.690548831,8.665008355,66.58547,3.6e-12,1.93e-11,18.76365582
"2409","FBgn0031453",8.645794585,8.682718894,66.39100591,3.68e-12,1.96e-11,18.74233082
"2428","FBgn0001089",8.892989958,8.708451156,66.11735858,3.81e-12,2.01e-11,18.71602507
"2503","FBgn0026602",8.793756003,8.461093972,65.21558005,4.24e-12,2.18e-11,18.61731055
"2516","FBgn0037913",8.878278946,8.85586421,65.03355477,4.34e-12,2.21e-11,18.59814669
"2613","FBgn0043841",9.186058455,8.940602902,63.78105099,5.06e-12,2.49e-11,18.46049323
"2634","FBgn0015766",9.360700206,9.788166835,63.56365924,5.2e-12,2.53e-11,18.43647571
"2724","FBgn0030608",8.604023665,8.669352596,62.51524142,5.93e-12,2.79e-11,18.31096216
"2729","FBgn0036165",9.193892075,9.256139545,62.46896374,5.96e-12,2.81e-11,18.31011813
"2742","FBgn0003447",9.13037998,9.017432682,62.33940955,6.06e-12,2.84e-11,18.29480372
"2761","FBgn0030114",8.734655366,8.703893255,62.10581505,6.24e-12,2.9e-11,18.26478293
"2768","FBgn0263392",8.547555467,8.519841054,62.02005788,6.31e-12,2.93e-11,18.25248053
